sample,emu_frame,slot,routine,flags,x,y,on_screen,screenshot
538,20721,0x16C0,$02:90F0,C8,260.0,184.0,False,frame_0538.png
538,20721,0x1700,$02:9274,E0,260.0,176.0,False,frame_0538.png
540,20723,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0540.png
540,20723,0x1080,$04:E6AF,C8,225.0,112.0,True,frame_0540.png
540,20723,0x10C0,$04:E6AF,C8,115.0,112.0,True,frame_0540.png
540,20723,0x1400,$04:FABA,C8,185.812,115.18,True,frame_0540.png
540,20723,0x16C0,$02:90F0,C8,258.0,184.0,False,frame_0540.png
540,20723,0x1700,$02:9274,E0,258.0,176.0,False,frame_0540.png
542,20725,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0542.png
542,20725,0x1080,$04:E6AF,C8,247.0,112.0,True,frame_0542.png
542,20725,0x10C0,$04:E6AF,C8,137.0,112.0,True,frame_0542.png
542,20725,0x1400,$04:FABA,C8,185.188,115.25,True,frame_0542.png
542,20725,0x16C0,$02:90F0,C8,256.0,184.0,False,frame_0542.png
542,20725,0x1700,$02:9274,E0,256.0,176.0,False,frame_0542.png
544,20727,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0544.png
544,20727,0x10C0,$04:E6AF,C8,159.0,112.0,True,frame_0544.png
544,20727,0x1400,$04:FABA,C8,184.562,115.289,True,frame_0544.png
544,20727,0x16C0,$02:90F0,C8,254.0,184.0,True,frame_0544.png
544,20727,0x1700,$02:9274,E0,254.0,176.0,True,frame_0544.png
546,20729,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0546.png
546,20729,0x1080,$04:E6AF,C8,27.0,112.0,True,frame_0546.png
546,20729,0x10C0,$04:E6AF,C8,181.0,112.0,True,frame_0546.png
546,20729,0x1400,$04:FABA,C8,183.938,115.297,True,frame_0546.png
546,20729,0x16C0,$02:90F0,C8,252.0,184.0,True,frame_0546.png
546,20729,0x1700,$02:9274,E0,252.0,176.0,True,frame_0546.png
548,20731,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0548.png
548,20731,0x1080,$04:E6AF,C8,49.0,112.0,True,frame_0548.png
548,20731,0x10C0,$04:E6AF,C8,203.0,112.0,True,frame_0548.png
548,20731,0x1400,$04:FABA,C8,183.312,115.273,True,frame_0548.png
548,20731,0x16C0,$02:90F0,C8,250.0,184.0,True,frame_0548.png
548,20731,0x1700,$02:9274,E0,250.0,176.0,True,frame_0548.png
550,20733,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0550.png
550,20733,0x1080,$04:E6AF,C8,71.0,112.0,True,frame_0550.png
550,20733,0x10C0,$04:E6AF,C8,225.0,112.0,True,frame_0550.png
550,20733,0x1400,$04:FABA,C8,182.688,115.219,True,frame_0550.png
550,20733,0x16C0,$02:90F0,C8,248.0,184.0,True,frame_0550.png
550,20733,0x1700,$02:9274,E0,248.0,176.0,True,frame_0550.png
552,20735,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0552.png
552,20735,0x1080,$04:E6AF,C8,93.0,112.0,True,frame_0552.png
552,20735,0x10C0,$04:E6AF,C8,247.0,112.0,True,frame_0552.png
552,20735,0x1400,$04:FABA,C8,182.062,115.133,True,frame_0552.png
552,20735,0x16C0,$02:90F0,C8,246.0,184.0,True,frame_0552.png
552,20735,0x1700,$02:9274,E0,246.0,176.0,True,frame_0552.png
554,20737,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0554.png
554,20737,0x1080,$04:E6AF,C8,115.0,112.0,True,frame_0554.png
554,20737,0x1400,$04:FABA,C8,181.438,115.016,True,frame_0554.png
554,20737,0x16C0,$02:90F0,C8,244.0,184.0,True,frame_0554.png
554,20737,0x1700,$02:9274,E0,244.0,176.0,True,frame_0554.png
556,20739,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0556.png
556,20739,0x1080,$04:E6AF,C8,137.0,112.0,True,frame_0556.png
556,20739,0x10C0,$04:E6AF,C8,27.0,112.0,True,frame_0556.png
556,20739,0x1400,$04:FABA,C8,180.812,114.867,True,frame_0556.png
556,20739,0x16C0,$02:90F0,C8,242.0,184.0,True,frame_0556.png
556,20739,0x1700,$02:9274,E0,242.0,176.0,True,frame_0556.png
558,20741,0x1000,$04:DF96,C8,21.5,112.0,True,frame_0558.png
558,20741,0x1080,$04:E6AF,C8,159.0,112.0,True,frame_0558.png
558,20741,0x10C0,$04:E6AF,C8,49.0,112.0,True,frame_0558.png
558,20741,0x1400,$04:FABA,C8,180.188,114.688,True,frame_0558.png
558,20741,0x16C0,$02:90F0,C8,240.0,184.0,True,frame_0558.png
558,20741,0x1700,$02:9274,E0,240.0,176.0,True,frame_0558.png
558,20741,0x1740,$02:90F0,C8,272.0,196.0,False,frame_0558.png
