sample,source_frame,result_frame,requested_mask,poll_mask,input_polls,speed_percent,lagged
374,20556,20557,0,0,4,50,false
375,20557,20558,0,0,4,50,false
376,20558,20559,0,0,4,50,false
377,20559,20560,0,0,4,50,false
378,20560,20561,128,128,4,50,false
379,20561,20562,128,128,4,50,false
380,20562,20563,128,128,4,50,false
381,20563,20564,128,128,4,50,false
382,20564,20565,0,0,4,50,false
383,20565,20566,0,0,4,50,false
384,20566,20567,0,0,4,50,false
385,20567,20568,0,0,4,50,false
386,20568,20569,128,128,4,50,false
387,20569,20570,128,128,4,50,false
388,20570,20571,128,128,4,50,false
389,20571,20572,128,128,4,50,false
390,20572,20573,0,0,4,50,false
391,20573,20574,0,0,4,50,false
392,20574,20575,0,0,4,50,false
393,20575,20576,0,0,4,50,false
394,20576,20577,128,128,4,50,false
395,20577,20578,128,128,4,50,false
396,20578,20579,128,128,4,50,false
397,20579,20580,128,128,4,50,false
398,20580,20581,0,0,4,50,false
399,20581,20582,0,0,4,50,false
400,20582,20583,0,0,4,50,false
401,20583,20584,0,0,4,50,false
402,20584,20585,128,128,4,50,false
403,20585,20586,128,128,4,50,false
404,20586,20587,128,128,4,50,false
405,20587,20588,128,128,4,50,false
406,20588,20589,0,0,4,50,false
407,20589,20590,0,0,4,50,false
408,20590,20591,0,0,4,50,false
409,20591,20592,0,0,4,50,false
410,20592,20593,128,128,4,50,false
411,20593,20594,128,128,4,50,false
412,20594,20595,128,128,4,50,false
413,20595,20596,128,128,4,50,false
414,20596,20597,0,0,4,50,false
415,20597,20598,0,0,4,50,false
416,20598,20599,0,0,4,50,false
417,20599,20600,0,0,4,50,false
418,20600,20601,128,128,4,50,false
419,20601,20602,128,128,4,50,false
420,20602,20603,128,128,4,50,false
421,20603,20604,128,128,4,50,false
422,20604,20605,0,0,4,50,false
423,20605,20606,0,0,4,50,false
424,20606,20607,0,0,4,50,false
425,20607,20608,0,0,4,50,false
426,20608,20609,128,128,4,50,false
427,20609,20610,128,128,4,50,false
428,20610,20611,128,128,4,50,false
429,20611,20612,128,128,4,50,false
430,20612,20613,0,0,4,50,false
431,20613,20614,0,0,4,50,false
432,20614,20615,0,0,4,50,false
433,20615,20616,0,0,4,50,false
434,20616,20617,128,128,4,50,false
435,20617,20618,128,128,4,50,false
436,20618,20619,128,128,4,50,false
437,20619,20620,128,128,4,50,false
438,20620,20621,0,0,4,50,false
439,20621,20622,0,0,4,50,false
440,20622,20623,0,0,4,50,false
441,20623,20624,0,0,4,50,false
442,20624,20625,128,128,4,50,false
443,20625,20626,128,128,4,50,false
444,20626,20627,128,128,4,50,false
445,20627,20628,128,128,4,50,false
446,20628,20629,0,0,4,50,false
447,20629,20630,0,0,4,50,false
448,20630,20631,0,0,4,50,false
449,20631,20632,0,0,4,50,false
450,20632,20633,128,128,4,50,false
451,20633,20634,128,128,4,50,false
452,20634,20635,128,128,4,50,false
453,20635,20636,128,128,4,50,false
454,20636,20637,0,0,4,50,false
455,20637,20638,0,0,4,50,false
456,20638,20639,0,0,4,50,false
457,20639,20640,0,0,4,50,false
458,20640,20641,128,128,4,50,false
459,20641,20642,128,128,4,50,false
460,20642,20643,128,128,4,50,false
461,20643,20644,128,128,4,50,false
462,20644,20645,0,0,4,50,false
463,20645,20646,0,0,4,50,false
464,20646,20647,0,0,4,50,false
465,20647,20648,0,0,4,50,false
466,20648,20649,128,128,4,50,false
467,20649,20650,128,128,4,50,false
468,20650,20651,128,128,4,50,false
469,20651,20652,128,128,4,50,false
470,20652,20653,0,0,4,50,false
471,20653,20654,0,0,4,50,false
472,20654,20655,0,0,4,50,false
473,20655,20656,0,0,4,50,false
474,20656,20657,128,128,4,50,false
475,20657,20658,128,128,4,50,false
476,20658,20659,128,128,4,50,false
477,20659,20660,128,128,4,50,false
478,20660,20661,0,0,4,50,false
479,20661,20662,0,0,4,50,false
480,20662,20663,0,0,4,50,false
481,20663,20664,8,8,4,50,false
482,20664,20665,136,136,4,50,false
483,20665,20666,136,136,4,50,false
484,20666,20667,136,136,4,50,false
485,20667,20668,136,136,4,50,false
486,20668,20669,8,8,4,50,false
487,20669,20670,8,8,4,50,false
488,20670,20671,8,8,4,50,false
489,20671,20672,8,8,4,50,false
490,20672,20673,136,136,4,50,false
491,20673,20674,136,136,4,50,false
492,20674,20675,136,136,4,50,false
493,20675,20676,136,136,4,50,false
494,20676,20677,8,8,4,50,false
495,20677,20678,8,8,4,50,false
496,20678,20679,8,8,4,50,false
497,20679,20680,8,8,4,50,false
498,20680,20681,136,136,4,50,false
499,20681,20682,136,136,4,50,false
500,20682,20683,136,136,4,50,false
501,20683,20684,136,136,4,50,false
502,20684,20685,8,8,4,50,false
503,20685,20686,8,8,4,50,false
504,20686,20687,8,8,4,50,false
505,20687,20688,8,8,4,50,false
506,20688,20689,136,136,4,50,false
507,20689,20690,136,136,4,50,false
508,20690,20691,136,136,4,50,false
509,20691,20692,136,136,4,50,false
510,20692,20693,8,8,4,50,false
511,20693,20694,8,8,4,50,false
512,20694,20695,8,8,4,50,false
513,20695,20696,8,8,4,50,false
514,20696,20697,136,136,4,50,false
515,20697,20698,136,136,4,50,false
516,20698,20699,136,136,4,50,false
517,20699,20700,128,128,4,50,false
518,20700,20701,0,0,4,50,false
519,20701,20702,0,0,4,50,false
520,20702,20703,0,0,4,50,false
521,20703,20704,0,0,4,50,false
522,20704,20705,128,128,4,50,false
523,20705,20706,128,128,4,50,false
524,20706,20707,128,128,4,50,false
525,20707,20708,128,128,4,50,false
526,20708,20709,0,0,4,50,false
527,20709,20710,0,0,4,50,false
528,20710,20711,0,0,4,50,false
529,20711,20712,2,2,4,50,false
530,20712,20713,130,130,4,50,false
531,20713,20714,130,130,4,50,false
532,20714,20715,130,130,4,50,false
533,20715,20716,130,130,4,50,false
534,20716,20717,2,2,4,50,false
535,20717,20718,2,2,4,50,false
536,20718,20719,2,2,4,50,false
537,20719,20720,2,2,4,50,false
538,20720,20721,130,130,4,50,false
539,20721,20722,130,130,4,50,false
540,20722,20723,130,130,4,50,false
541,20723,20724,132,132,4,50,false
542,20724,20725,4,4,4,50,false
543,20725,20726,4,4,4,50,false
544,20726,20727,4,4,4,50,false
545,20727,20728,4,4,4,50,false
546,20728,20729,132,132,4,50,false
547,20729,20730,130,130,4,50,false
548,20730,20731,130,130,4,50,false
549,20731,20732,130,130,4,50,false
550,20732,20733,2,2,4,50,false
551,20733,20734,2,2,4,50,false
552,20734,20735,2,2,4,50,false
553,20735,20736,2,2,4,50,false
554,20736,20737,130,130,4,50,false
555,20737,20738,130,130,4,50,false
556,20738,20739,130,130,4,50,false
557,20739,20740,130,130,4,50,false
558,20740,20741,2,2,4,50,false
559,20741,20742,4,4,4,50,false
560,20742,20743,4,4,4,50,false
561,20743,20744,4,4,4,50,false
562,20744,20745,132,132,4,50,false
563,20745,20746,132,132,4,50,false
564,20746,20747,132,132,4,50,false
565,20747,20748,130,130,4,50,false
566,20748,20749,2,2,4,50,false
567,20749,20750,2,2,4,50,false
568,20750,20751,2,2,4,50,false
569,20751,20752,2,2,4,50,false
570,20752,20753,130,130,4,50,false
571,20753,20754,132,132,4,50,false
572,20754,20755,132,132,4,50,false
573,20755,20756,132,132,4,50,false
574,20756,20757,4,4,4,50,false
575,20757,20758,4,4,4,50,false
576,20758,20759,4,4,4,50,false
577,20759,20760,4,4,4,50,false
578,20760,20761,132,132,4,50,false
579,20761,20762,132,132,4,50,false
580,20762,20763,132,132,4,50,false
581,20763,20764,132,132,4,50,false
582,20764,20765,4,4,4,50,false
583,20765,20766,4,4,4,50,false
584,20766,20767,4,4,4,50,false
585,20767,20768,4,4,4,50,false
586,20768,20769,132,132,4,50,false
587,20769,20770,132,132,4,50,false
588,20770,20771,132,132,4,50,false
589,20771,20772,132,132,4,50,false
590,20772,20773,4,4,4,50,false
591,20773,20774,4,4,4,50,false
592,20774,20775,4,4,4,50,false
593,20775,20776,4,4,4,50,false
594,20776,20777,132,132,4,50,false
595,20777,20778,132,132,4,50,false
596,20778,20779,132,132,4,50,false
597,20779,20780,132,132,4,50,false
598,20780,20781,4,4,4,50,false
599,20781,20782,4,4,4,50,false
600,20782,20783,4,4,4,50,false
601,20783,20784,4,4,4,50,false
602,20784,20785,132,132,4,50,false
603,20785,20786,132,132,4,50,false
604,20786,20787,132,132,4,50,false
605,20787,20788,132,132,4,50,false
606,20788,20789,4,4,4,50,false
607,20789,20790,4,4,4,50,false
608,20790,20791,4,4,4,50,false
609,20791,20792,4,4,4,50,false
610,20792,20793,132,132,4,50,false
611,20793,20794,132,132,4,50,false
612,20794,20795,132,132,4,50,false
613,20795,20796,132,132,4,50,false
614,20796,20797,4,4,4,50,false
615,20797,20798,4,4,4,50,false
616,20798,20799,4,4,4,50,false
617,20799,20800,4,4,4,50,false
618,20800,20801,132,132,4,50,false
619,20801,20802,129,129,4,50,false
620,20802,20803,129,129,4,50,false
621,20803,20804,129,129,4,50,false
622,20804,20805,1,1,4,50,false
623,20805,20806,1,1,4,50,false
624,20806,20807,1,1,4,50,false
625,20807,20808,1,1,4,50,false
626,20808,20809,129,129,4,50,false
627,20809,20810,129,129,4,50,false
628,20810,20811,129,129,4,50,false
629,20811,20812,129,129,4,50,false
630,20812,20813,1,1,4,50,false
631,20813,20814,1,1,4,50,false
632,20814,20815,1,1,4,50,false
633,20815,20816,1,1,4,50,false
634,20816,20817,129,129,4,50,false
635,20817,20818,129,129,4,50,false
636,20818,20819,129,129,4,50,false
637,20819,20820,129,129,4,50,false
638,20820,20821,1,1,4,50,false
639,20821,20822,1,1,4,50,false
640,20822,20823,1,1,4,50,false
641,20823,20824,1,1,4,50,false
642,20824,20825,129,129,4,50,false
643,20825,20826,129,129,4,50,false
644,20826,20827,129,129,4,50,false
645,20827,20828,129,129,4,50,false
646,20828,20829,1,1,4,50,false
647,20829,20830,1,1,4,50,false
648,20830,20831,1,1,4,50,false
649,20831,20832,1,1,4,50,false
650,20832,20833,129,129,4,50,false
651,20833,20834,129,129,4,50,false
652,20834,20835,129,129,4,50,false
653,20835,20836,129,129,4,50,false
654,20836,20837,1,1,4,50,false
655,20837,20838,8,8,4,50,false
656,20838,20839,8,8,4,50,false
