frame,0x002C,0x0098,0x009B,0x009D,0x00FA,0x00FB,0x0629,0x062B,0x0901,0x0905,0x100D,0x1014,0x1024,
20117,206,0,0,0,0,0,0,0,104,104,0,112,64,
20118,206,0,0,0,0,0,0,0,104,104,0,112,64,
20119,206,0,0,0,0,0,0,0,224,224,0,112,64,
20120,206,0,0,0,0,0,0,0,224,224,0,112,64,
20121,206,0,0,0,0,0,0,0,104,104,0,112,64,
20122,206,0,0,0,0,0,0,0,104,104,0,112,64,
20123,206,0,0,0,0,0,0,0,224,224,0,112,64,
20124,206,0,0,0,0,0,0,0,224,224,0,112,64,
20125,206,0,0,0,0,0,0,0,104,104,0,112,64,
20126,206,0,0,0,0,0,0,0,104,104,0,112,64,
20127,206,0,0,0,0,0,0,0,224,224,0,112,64,
20128,206,0,0,0,0,0,0,0,224,224,0,112,64,
20129,206,0,0,0,0,0,0,0,104,104,0,112,64,
20130,206,0,0,0,0,0,0,0,104,104,0,112,64,
20131,206,0,0,0,0,0,0,0,224,224,0,112,64,
20132,206,0,0,0,0,0,0,0,224,224,0,112,64,
20133,206,0,0,0,0,0,0,0,104,104,0,112,64,
20134,206,0,0,0,0,0,0,0,104,104,0,112,64,
20135,206,0,0,0,0,0,0,0,224,224,0,112,64,
20136,206,0,0,0,0,0,22,22,224,224,0,112,64,
20137,206,0,0,0,0,0,22,22,104,104,0,112,64,
20138,206,0,0,0,0,0,22,22,104,104,0,112,64,
20139,206,0,0,0,0,0,22,22,224,224,0,112,64,
20140,206,0,0,0,0,0,22,22,224,224,0,112,64,
