20713,130
20714,130
20715,130
20716,2
20717,2
20718,2
20719,2
20720,130
20721,130
20722,130
20723,132
20724,4
20725,4
20726,4
20727,4
20728,132
20729,130
20730,130
20731,130
20732,2
20733,2
20734,2
20735,2
20736,130
20737,130
20738,130
20739,130
20740,2
20741,4
20742,4
20743,4
20744,132
20745,132
20746,132
20747,130
20748,2
20749,2
20750,2
20751,2
20752,130
20753,132
20754,132
20755,132
20756,4
20757,4
20758,4
20759,4
20760,132
20761,132
20762,132
20763,132
20764,4
20765,4
20766,4
20767,4
20768,132
20769,132
20770,132
20771,132
20772,4
20773,4
20774,4
20775,4
20776,132
20777,132
20778,132
20779,132
20780,4
20781,4
20782,4
20783,4
20784,132
20785,132
20786,132
20787,132
20788,4
20789,4
20790,4
20791,4
20792,132
20793,132
20794,132
20795,132
20796,4
20797,4
20798,4
20799,4
20800,132
20801,129
20802,129
20803,129
20804,1
20805,1
20806,1
20807,1
20808,129
20809,129
20810,129
20811,129
20812,1
20813,1
20814,1
20815,1
20816,129
20817,129
20818,129
20819,129
20820,1
20821,1
20822,1
20823,1
20824,129
20825,129
20826,129
20827,129
20828,1
20829,1
20830,1
20831,8
20832,136
20833,136
20834,136
20835,136
20836,8
20837,8
20838,8
20839,8
20840,136
20841,136
20842,136
20843,132
20844,4
20845,4
20846,4
20847,4
20848,132
20849,136
20850,136
20851,136
20852,8
20853,8
20854,8
20855,4
20856,132
20857,132
20858,132
20859,132
20860,4
20861,8
20862,8
20863,8
20864,136
20865,136
20866,136
20867,136
20868,8
20869,8
20870,8
20871,8
20872,136
20873,136
20874,136
20875,136
20876,8
20877,8
20878,8
20879,2
20880,130
20881,130
20882,130
20883,130
20884,2
20885,2
20886,2
20887,2
20888,130
20889,130
20890,130
20891,130
20892,2
20893,2
20894,2
20895,2
20896,130
20897,130
20898,130
20899,130
20900,2
20901,2
20902,2
20903,2
20904,130
20905,130
20906,130
20907,130
20908,2
20909,4
20910,4
20911,4
20912,132
20913,132
20914,132
20915,132
20916,4
20917,4
20918,4
20919,4
20920,132
20921,132
20922,132
20923,132
20924,4
20925,4
20926,4
20927,8
20928,136
20929,136
20930,136
20931,136
20932,8
20933,4
20934,4
20935,4
20936,132
20937,132
20938,132
20939,136
20940,8
20941,8
20942,8
20943,8
20944,136
20945,132
20946,132
20947,132
20948,4
20949,4
20950,4
20951,2
20952,130
20953,130
20954,130
20955,130
20956,2
20957,1
20958,1
20959,1
20960,129
20961,129
20962,129
20963,136
20964,8
20965,8
20966,8
20967,8
20968,136
20969,136
20970,136
20971,136
20972,8
20973,8
20974,8
20975,1
20976,129
20977,129
20978,129
20979,129
20980,1
20981,8
20982,8
20983,8
20984,136
20985,136
20986,136
20987,129
20988,1
20989,1
20990,1
20991,1
20992,129
20993,129
20994,129
20995,129
20996,1
20997,1
20998,1
20999,8
21000,136
21001,136
21002,136
21003,136
21004,8
21005,1
21006,1
21007,1
21008,129
21009,129
21010,129
21011,132
21012,4
21013,4
21014,4
21015,4
21016,132
21017,132
21018,132
21019,132
21020,4
21021,4
21022,4
21023,4
21024,132
21025,132
21026,132
21027,132
21028,4
